Year,total_sales,avg_user_score,avg_critic_score
1981,4.31,7.8,7.6
1982,7.7,7.4,9
1984,1.52,7.4,9.5
1985,68.55,8.25,8.75
1986,2.65,8.1,8.5
1987,6.51,8.8,8.4
1988,7.46,8.1,8.5
1989,30.29,5.45,8.2
1990,17.28,9.3,9.8
1991,35.61,8.8,8.55
1992,11.18,8.5,9
1993,10.55,9.5,9.2
1994,9.3,8.8,9
1995,6.3,8,8.9
1996,13.54,8.5,8.87
1997,11.17,9.25,9.45
1998,42.77,8.8,9.05
1999,15.6,9.1,8.38
2000,26.69,8.45,8.2
2001,41.66,7.77,8.94
2002,22.02,8.85,9.2
2003,21.7,9.04,8.58
2004,33.77,7.91,8.64
2005,55.84,7.62,7.83
2006,147.28,8.26,8.11
2007,112.94,8.57,8.32
2008,151.16,8.55,8
2009,144.02,8.57,7.77
2010,84.18,8.78,8.3
2011,173.35,6.59,7.06
2012,169.12,7.06,7.37
2013,185.56,6.98,7.55
2014,267.45,7.01,7.5
2015,264.74,6.89,7.42
2016,261.94,6.92,7.41
2017,307.35,6.81,7.39
2018,242.53,6.58,7.33
2019,107.75,6.45,7.86
2020,25.25,7.5,8.74
